molecule_chembl_id,ic50_nM,pic50,smiles,inchi
CHEMBL1173655,49.85,7.302334837352325,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)"
CHEMBL1229592,3.59,8.44490555142168,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,"InChI=1S/C25H27ClN6O3/c1-4-23(33)28-17-6-5-7-19(14-17)35-24-20(26)16-27-25(30-24)29-21-9-8-18(15-22(21)34-3)32-12-10-31(2)11-13-32/h4-9,14-16H,1,10-13H2,2-3H3,(H,28,33)(H,27,29,30)"
CHEMBL1232944,2200.0,5.657577319177793,C=CC(=O)Nc1ccc2c(Nc3cc[nH]n3)nc(-c3ccccc3)nc2c1,"InChI=1S/C20H16N6O/c1-2-18(27)22-14-8-9-15-16(12-14)23-19(13-6-4-3-5-7-13)25-20(15)24-17-10-11-21-26-17/h2-12H,1H2,(H,22,27)(H2,21,23,24,25,26)"
CHEMBL2029425,3.52,8.453457336521868,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,"InChI=1S/C30H36N8O3/c1-6-27(39)32-21-8-7-9-24(16-21)38-28-20(19-36(4)30(38)40)18-31-29(34-28)33-25-11-10-23(17-26(25)41-5)37-14-12-22(13-15-37)35(2)3/h6-11,16-18,22H,1,12-15,19H2,2-5H3,(H,32,39)(H,31,33,34)"
CHEMBL2032376,1.16,8.935542010773082,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,"InChI=1S/C28H32N8O3/c1-5-25(37)30-20-7-6-8-22(15-20)36-26-19(18-34(3)28(36)38)17-29-27(32-26)31-23-10-9-21(16-24(23)39-4)35-13-11-33(2)12-14-35/h5-10,15-17H,1,11-14,18H2,2-4H3,(H,30,37)(H,29,31,32)"
CHEMBL2032377,4.99,8.30189945437661,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N(C)C)cc4OC)nc32)c1,"InChI=1S/C25H27N7O3/c1-6-22(33)27-17-8-7-9-19(12-17)32-23-16(15-31(4)25(32)34)14-26-24(29-23)28-20-11-10-18(30(2)3)13-21(20)35-5/h6-14H,1,15H2,2-5H3,(H,27,33)(H,26,28,29)"
CHEMBL2032378,29.5,7.530177984021837,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCCC5)cc4OC)nc32)c1,"InChI=1S/C28H31N7O3/c1-4-25(36)30-20-9-8-10-22(15-20)35-26-19(18-33(2)28(35)37)17-29-27(32-26)31-23-12-11-21(16-24(23)38-3)34-13-6-5-7-14-34/h4,8-12,15-17H,1,5-7,13-14,18H2,2-3H3,(H,30,36)(H,29,31,32)"
CHEMBL2032379,16.4,7.785156151952302,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCOCC5)cc4OC)nc32)c1,"InChI=1S/C27H29N7O4/c1-4-24(35)29-19-6-5-7-21(14-19)34-25-18(17-32(2)27(34)36)16-28-26(31-25)30-22-9-8-20(15-23(22)37-3)33-10-12-38-13-11-33/h4-9,14-16H,1,10-13,17H2,2-3H3,(H,29,35)(H,28,30,31)"
CHEMBL2032380,1.47,8.832682665251824,C=CC(=O)Nc1cccc(N2C(=O)N(C)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)cc4OC)nc32)c1,"InChI=1S/C29H34N8O3/c1-5-26(38)31-21-8-6-9-23(16-21)37-27-20(19-35(3)29(37)39)18-30-28(33-27)32-24-11-10-22(17-25(24)40-4)36-13-7-12-34(2)14-15-36/h5-6,8-11,16-18H,1,7,12-15,19H2,2-4H3,(H,31,38)(H,30,32,33)"
CHEMBL31965,51.0,7.292429823902063,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,"InChI=1S/C24H25ClFN5O3/c1-2-23(32)30-21-13-17-20(14-22(21)34-9-3-6-31-7-10-33-11-8-31)27-15-28-24(17)29-16-4-5-19(26)18(25)12-16/h2,4-5,12-15H,1,3,6-11H2,(H,30,32)(H,27,28,29)"
CHEMBL3353410,13.555,7.867900478083496,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"InChI=1S/C28H33N7O2/c1-7-27(36)30-22-16-23(26(37-6)17-25(22)34(4)15-14-33(2)3)32-28-29-13-12-21(31-28)20-18-35(5)24-11-9-8-10-19(20)24/h7-13,16-18H,1,14-15H2,2-6H3,(H,30,36)(H,29,31,32)"
CHEMBL3545308,490.15,6.309670993026031,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2C(F)(F)F)c1,"InChI=1S/C27H28F3N7O3/c1-4-24(39)32-18-6-5-7-19(14-18)33-25-21(27(28,29)30)16-31-26(35-25)34-22-9-8-20(15-23(22)40-3)37-12-10-36(11-13-37)17(2)38/h4-9,14-16H,1,10-13H2,2-3H3,(H,32,39)(H2,31,33,34,35)"
CHEMBL3545311,19.4,7.712198270069773,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1,"InChI=1S/C29H39ClN7O2P/c1-35-15-17-37(18-16-35)21-11-13-36(14-12-21)22-9-10-24(26(19-22)39-2)33-29-31-20-23(30)28(34-29)32-25-7-5-6-8-27(25)40(3,4)38/h5-10,19-21H,11-18H2,1-4H3,(H2,31,32,33,34)"
CHEMBL3604910,2200.0,5.657577319177793,CCC(=O)Nc1ccc2c(Nc3cc[nH]n3)nc(-c3ccccc3)nc2c1,"InChI=1S/C20H18N6O/c1-2-18(27)22-14-8-9-15-16(12-14)23-19(13-6-4-3-5-7-13)25-20(15)24-17-10-11-21-26-17/h3-12H,2H2,1H3,(H,22,27)(H2,21,23,24,25,26)"
CHEMBL3604911,1100.0,5.958607314841775,C=CC(=O)Nc1ccccc1-c1nc(Nc2cc[nH]n2)c2ccccc2n1,"InChI=1S/C20H16N6O/c1-2-18(27)22-15-9-5-3-7-13(15)19-23-16-10-6-4-8-14(16)20(25-19)24-17-11-12-21-26-17/h2-12H,1H2,(H,22,27)(H2,21,23,24,25,26)"
CHEMBL3604919,2500.0,5.6020599913279625,C=CC(=O)Nc1cccc(-c2nccc(Nc3cc(C)[nH]n3)n2)c1,"InChI=1S/C17H16N6O/c1-3-16(24)19-13-6-4-5-12(10-13)17-18-8-7-14(21-17)20-15-9-11(2)22-23-15/h3-10H,1H2,2H3,(H,19,24)(H2,18,20,21,22,23)"
CHEMBL3604931,1800.0,5.7447274948966935,C=CC(=O)Nc1cccc(Oc2nccc(Nc3cc(C)[nH]n3)n2)c1,"InChI=1S/C17H16N6O2/c1-3-16(24)19-12-5-4-6-13(10-12)25-17-18-8-7-14(21-17)20-15-9-11(2)22-23-15/h3-10H,1H2,2H3,(H,19,24)(H2,18,20,21,22,23)"
CHEMBL3604932,10000.0,5.0,CCC(=O)Nc1cccc(Oc2nccc(Nc3cc(C)[nH]n3)n2)c1,"InChI=1S/C17H18N6O2/c1-3-16(24)19-12-5-4-6-13(10-12)25-17-18-8-7-14(21-17)20-15-9-11(2)22-23-15/h4-10H,3H2,1-2H3,(H,19,24)(H2,18,20,21,22,23)"
CHEMBL3604933,2000.0,5.698970004336019,C=CC(=O)Nc1cccc(Oc2nc(Nc3cc[nH]n3)cc(N3CCN(C)CC3)n2)c1,"InChI=1S/C21H24N8O2/c1-3-20(30)23-15-5-4-6-16(13-15)31-21-25-18(24-17-7-8-22-27-17)14-19(26-21)29-11-9-28(2)10-12-29/h3-8,13-14H,1,9-12H2,2H3,(H,23,30)(H2,22,24,25,26,27)"
CHEMBL3604934,10000.0,5.0,CCC(=O)Nc1cccc(Oc2nc(Nc3cc[nH]n3)cc(N3CCN(C)CC3)n2)c1,"InChI=1S/C21H26N8O2/c1-3-20(30)23-15-5-4-6-16(13-15)31-21-25-18(24-17-7-8-22-27-17)14-19(26-21)29-11-9-28(2)10-12-29/h4-8,13-14H,3,9-12H2,1-2H3,(H,23,30)(H2,22,24,25,26,27)"
CHEMBL3604935,1800.0,5.7447274948966935,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Oc3ccc(NC(=O)/C=C/CN(C)C)cc3)n2)n[nH]1,"InChI=1S/C25H33N9O2/c1-18-16-22(31-30-18)27-21-17-23(34-14-12-33(4)13-15-34)29-25(28-21)36-20-9-7-19(8-10-20)26-24(35)6-5-11-32(2)3/h5-10,16-17H,11-15H2,1-4H3,(H,26,35)(H2,27,28,29,30,31)"
CHEMBL3604936,2100.0,5.6777807052660805,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Oc3ccc(NC(=O)/C=C/C(F)(F)F)cc3)n2)n[nH]1,"InChI=1S/C23H25F3N8O2/c1-15-13-19(32-31-15)28-18-14-20(34-11-9-33(2)10-12-34)30-22(29-18)36-17-5-3-16(4-6-17)27-21(35)7-8-23(24,25)26/h3-8,13-14H,9-12H2,1-2H3,(H,27,35)(H2,28,29,30,31,32)"
CHEMBL3604937,500.0,6.301029995663981,C=CC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,"InChI=1S/C25H26N8O2/c1-3-23(34)26-17-7-6-8-18(15-17)35-25-28-21(16-22(29-25)33-13-11-32(2)12-14-33)27-24-19-9-4-5-10-20(19)30-31-24/h3-10,15-16H,1,11-14H2,2H3,(H,26,34)(H2,27,28,29,30,31)"
CHEMBL3604938,10000.0,5.0,CCC(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,"InChI=1S/C25H28N8O2/c1-3-23(34)26-17-7-6-8-18(15-17)35-25-28-21(16-22(29-25)33-13-11-32(2)12-14-33)27-24-19-9-4-5-10-20(19)30-31-24/h4-10,15-16H,3,11-14H2,1-2H3,(H,26,34)(H2,27,28,29,30,31)"
CHEMBL3604939,3600.0,5.443697499232712,CN(C)C/C=C/C(=O)Nc1cccc(Oc2nc(Nc3n[nH]c4ccccc34)cc(N3CCN(C)CC3)n2)c1,"InChI=1S/C28H33N9O2/c1-35(2)13-7-12-26(38)29-20-8-6-9-21(18-20)39-28-31-24(19-25(32-28)37-16-14-36(3)15-17-37)30-27-22-10-4-5-11-23(22)33-34-27/h4-12,18-19H,13-17H2,1-3H3,(H,29,38)(H2,30,31,32,33,34)"
